air_pressure,air_temperature,avg_wind_direction,avg_wind_speed,max_wind_direction,max_wind_speed,rain_accumulation,rain_duration,relative_humidity,relative_humidity_pm,row_number
919.06,23.79,281.1,3.0803542,275.4,3.8632832,0.89,4,43.42,37.16,0
917.3476881,21.89102368,101.9351794,2.443009216,140.4715485,3.533323602,0,0,24.32869729,20.4265968,1
923.04,15.91,51,17.0678522,63.7,22.1009672,0,20,8.9,14.46,2
920.5027512,21.18827493,198.8321327,4.337363056,211.2033412,5.19004536,0,0,12.18910187,12.74254735,3
921.16,6.83,277.8,1.8566602,136.5,2.8632832,8.9,14730,92.41,76.74,4
915.3,25.78,182.8,9.9320136,189,10.9833754,0.02,170,35.13,33.93,5
915.5988675,21.13516907,177.8754072,3.745586538,186.6066959,4.589632429,0,0,10.65742166,21.38565673,6
918.07,10.95,242.4,2.5277422,271.6,3.6462122,0,0,80.47,74.92,7
920.08,26.99,40.7,4.5186188,63,5.8831522,0,0,29.58,24.03,8
915.01,8.61,163.1,4.9436374,195.9,6.5766036,0,0,88.6,68.05,9
919.65,25.02,70.6,3.8251674,85.5,4.7646822,0,0,22.07,32.13,10
915.64,7.62,241.6,5.8607828,265.8,8.0306146,0.55,1770,90.56,79.09,11
917.39,9.88,204.1,1.2750558,211.8,2.013246,0,0,73.15,58.43,12
920.82,16.91,213.6,2.6172198,165.7,3.3106712,0,0,43.64,27.99,13
911,30.24,202.9,1.2079476,162.9,1.677705,0,0,15.19,24.37,14
922.3831312,21.59181305,36.17417478,1.847278084,58.42863249,2.529142074,0,0,12.11088934,14.80170596,15
917.89,,169.2,2.1922012,196.8,2.9303914,1.2,0,48.99,51.19,16
916.9152554,25.01053366,234.539345,2.274725297,229.4741987,2.906513109,1.3,0,21.03146177,20.75568332,17
918.8,19.49,176.1,4.8765292,183.4,5.5699806,1.5,0,18.9,45.87,18
922.04,20.32,58.3,9.5517338,81.9,12.5716028,1.7,0,7.54,7.74,19
919.9922622,17.20243507,54.79909362,12.68043574,74.25422349,15.45230581,1.2,0,18.80951786,14.64990936,20
917.23,19.82,177.8,2.460634,93.2,3.2883018,1.8,0,40.64,41.34,21
921.125626,20.45487327,71.79909228,2.576537767,95.47233356,3.487443587,1.2,0,11.74220123,17.28116117,22
920.35,8.65,192.1,6.263432,205.7,7.605596,0.6,0,54.55,66,23
921.7882289,22.03309567,217.4055201,1.946446506,253.758003,2.719711659,0,0,11.19424977,16.33171563,24
918.03,10.37,128.9,2.5277422,117.4,4.0041226,0,0,76.88,47.03,25
914.49,9.94,163,4.8541598,189.6,6.7331894,0,0,92.1,90.99,26
914.9,25.9,203.3,1.8119214,240,2.7514362,0,220,47.89,43.9,27
915.84,4.51,171.9,10.5359874,188,12.9295132,0,0,86.43,84.39,28
916.31,7.46,183.1,8.3437862,194.6,10.0885994,0,0,86.15,90.58,29
919.35,32.84,96.4,2.5277422,96.3,3.3777794,0,0,25.62,35.69,30
916.28,13.08,174.6,2.5948504,191.7,3.3777794,0,0,79.92,61.84,31
918.7,24.57,184.6,4.0936002,194.9,4.7423128,0,0,19.17,31.97,32
918.37,17.73,53.7,14.4506324,72.1,17.0454828,0,0,19.68,14.54,33
923.6,15.49,192.8,4.2949248,203.5,5.1897008,0,0,22.47,14.26,34
917.3,29.49,149.7,2.013246,71,2.8632832,0,0,32.02,29.84,35
912.64,12.22,177.7,6.822667,190.7,8.6345884,0,0,89.77,55.57,36
914.67,17.87,137.8,2.125093,177,2.7290668,0,0,58.57,39.96,37
914.66,10.2,177.6,8.5227414,186.3,10.0214912,0,20,91.22,88.35,38
921.9699513,16.08630085,164.621486,1.664442299,195.7799675,2.367181133,0,0,12.1096289,15.84956394,39
919.3,17.9,182.2,10.7596814,186.5,11.7886738,0,0,34.63,61.32,40
921.09,20.37,50.7,14.204569,62.5,17.0454828,0,0,17.58,14.24,41
921.5,9.75,90.7,1.7448132,112.3,2.684328,1.53,5420,34.35,49.5,42
914.9,18.16,174.6,5.6594582,184.5,6.8674058,0,0,43.37,49.39,43
924.2,20.49,56.3,9.8872748,69,11.8781514,0,0,14.23,13.58,44
914.54,19.81,170.2,8.2543086,184.3,10.849159,0,0,35.05,48.76,45
917.9,18.7,183.7,6.0621074,188.5,6.5094954,0.021,319,74.22,69.19,46
916.05,30.66,210,1.565858,109.3,2.5948504,0,0,12.88,14.83,47
920.23,19.62,153.2,1.230317,136.9,2.0803542,0,0,13.89,20.52,48
923.6636768,20.5728169,64.68990787,7.55777528,73.04923224,8.819354482,0,0,14.69250133,17.88774436,49
921.9,18.82,199,4.4962494,207.2,5.3239172,0,0,10.35,15.37,50
918.58,24.99,150.7,1.3197946,182,1.9461378,0,0,15.54,29.09,51
922.36,23.52,166.9,4.1830778,210,6.9121446,0,0,12.48,12.71,52
922.928409,20.51192531,54.66611121,9.7874074,82.62134109,13.33468856,0,0,8.082800654,7.187360985,53
923.01855,21.29474024,152.5635421,3.059696039,181.27478,4.269037625,0,0,22.85968417,18.79464702,54
916.42,7.23,82.8,3.0646078,129.8,4.809421,8.74,7000,57.71,41.8,55
922.57,7.57,182.8,5.2120702,191.4,6.0173686,0,0,85.71,80.23,56
920.03,19.44,172.5,2.460634,168.1,3.3106712,0,0,29.89,39.95,57
919.09,24.87,166.2,1.2974252,199,1.8119214,0,0,19.74,23.29,58
916.18,16.28,173.6,1.7224438,209.4,2.5277422,0,0,78.78,62.25,59
917.8,23.21,181.9,0.9395148,185.3,1.5434886,0,0,11.48,18.49,60
918.54,8.14,213.6,16.4862478,221.2,18.0297364,0.08,1153,91.36,89.93,61
918.24,16.66,78.4,4.4515106,45.1,5.8384134,0,0,60.65,41.24,62
917.02,11.81,180.2,3.131716,216.6,4.4515106,0,0,25.09,28.43,63
919.41,25.73,183.7,3.7580592,42.7,5.3910254,0,0,29.71,23.11,64
921.29,28.46,162.6,2.6619586,194,3.5567346,0,0,16.5,18.32,65
922.06,16.53,56.2,10.4241404,77,13.42164,0,0,17.7,14.79,66
925.5882714,19.08499354,56.06405656,17.52793246,67.93988014,20.97118326,0,0,14.4246214,11.43602921,67
917.58,20.76,180.7,6.9568834,191.7,8.6345884,0,0,28.63,37.82,68
922.2062329,13.90915695,48.36270145,12.38532935,64.90532836,15.78933106,0,0,14.9694299,21.98746067,69
917.7625807,27.81351896,110.2578524,2.234508146,129.7798795,3.206254488,0,0,16.57866197,19.13732393,70
925.0971257,13.96305507,52.96893276,14.61830695,69.00705655,19.21431385,0,1.540448294,18.64230606,18.06422562,71
920.7428234,23.61965348,51.42271867,13.87609399,66.85476324,16.98617834,0.01,75.86295265,9.406636211,8.283812813,72
916.75,12.54,233.5,1.5211192,231.8,2.2816788,0,0,89.84,54.5,73
922.79,12.21,182.6,1.8566602,208.2,2.6395892,0.02,180,17.39,39.19,74
920.1,11.94,186.1,13.4440094,193.8,15.3677778,0,0,31.47,64.88,75
922.0704549,24.85677823,165.7364076,3.771458562,205.6703539,6.004160988,0,0,13.56782358,14.22808216,76
921.61,3.41,46.6,4.5186188,59.6,5.5252418,0,0,29.8,16.4,77
916.22,20.14,183.1,9.9320136,190.8,11.1623306,0,0,24.66,40.47,78
915.57,16.3,174.3,4.8988986,180.6,5.5028724,0,0,13.89,56.96,79
916.8,18.58,164.4,3.5567346,196.6,4.7199434,0,0,21.61,28.39,80
917.46,14.61,182.3,5.9055216,190.3,6.934514,0,0,25.76,41.47,81
925.74,9.75,154.2,2.3264176,197.1,3.4001488,0,0,69.78,52.05,82
917.67,6.59,192.9,5.8384134,206.4,7.270055,0,0,85.18,20.71,83
920.93,17.68,196.4,7.6503348,204,8.5674802,0,0,20.63,26.89,84
916.82,10.16,73.7,2.684328,90.4,3.4225182,0.47,1030,58.73,63.44,85
917.2683056,29.81201653,266.4934619,2.158058057,194.7025114,2.829140057,0.031174102,70.52665037,31.21856628,23.40857794,86
921.39,24.49,225.1,1.901399,251.1,2.572481,0.04,300,47.52,19.94,87
915.9144357,20.77159617,46.73617058,10.97695077,64.64468233,14.29761714,0,9.397156951,8.498335363,12.69854598,88
919,20.09,98.6,1.7224438,126.4,2.3040482,0,0,34.63,55.07,89
918.8846912,22.72215432,163.5151929,1.026577543,196.1572631,1.482193818,0,0,18.91876489,20.27354026,90
915.32,28.8,219.9,1.5211192,245,2.0579848,0,0,17.49,42.22,91
918.8503361,23.38035523,69.44844917,3.416405485,103.0589152,4.748526322,0,0,11.07931552,16.47832778,92
921.4081299,8.87244145,46.31142851,10.99845315,67.23285724,14.38541279,0,0,22.14770138,21.86553243,93
913.3,26.32,52.2,3.2211936,37.4,4.0936002,0,0,13.07,26.93,94
927.61,12.72,55,4.9883762,53.4,7.2029468,0,0,13.51,14.05,95
921.8744784,20.05213775,70.90865373,2.14658555,96.09530367,2.891294671,0,0,12.47944521,19.57991484,96
921.54,6.2,52.5,23.5549782,68,29.8407796,0.05,100,19.38,18.38,97
916.52,10.91,190.8,7.4042714,198,8.388525,0.37,2170,91.69,78.51,98
921.39,8.15,46,1.7000744,72.7,2.2145706,0,0,38.09,35.18,99
918.9,25.31,212,1.1855782,154.1,1.8342908,0,0,62.1,56.93,100
919.56,25.82,179.3,5.9502604,192.2,6.9792528,0,0,20.19,18.76,101
919.4478167,16.39925561,53.18264797,14.40562685,72.12874178,17.6112668,0,0,19.53916528,15.46261112,102
921.5,12.52,220,5.0107456,234.9,6.4423872,0,0,82.28,83.84,103
919.7734056,20.40211108,55.22713277,16.12642905,74.30451646,20.82389079,0,0,15.05815004,9.664422897,104
917.4,23.26,181.7,4.138339,189.8,4.7646822,0.05,460,58.91,47.53,105
914.95,8.45,183.9,7.6279654,191.2,8.612219,20.02,11650,90.68,65.65,106
918.1229673,20.9374295,224.5948837,3.65013425,242.0776685,4.774079056,0,0,17.1085399,22.39256638,107
920.36,23.44,56.1,4.7199434,72.7,5.5699806,0,0,14.73,17.5,108
923.62,17,63.7,4.9436374,75.5,6.0621074,0,0,28.55,20.04,109
922.7114407,8.622838978,198.5919491,6.11125373,215.4258051,7.451948553,0,0,50.75183903,22.18990678,110
915.29,14.9,182.6,15.6138412,189,,0,0,21.5,29.69,111
916.45,17.03,193.7,3.5343652,208.8,4.4291412,0,0,47.43,44.8,112
922.88,12.08,186.9,2.8185444,223.2,3.6685816,0,0,28.68,48.03,113
915.1,8.41,189.8,3.8922756,215.5,5.480503,0,0,72.29,83.17,114
918.29,24.02,210.9,2.3040482,232.8,2.9751302,0,0,35.96,43.37,115
919.5613327,20.64751147,137.1448756,1.382894185,123.0190307,2.031606785,0,0,15.93544664,16.65085284,116
917.3973494,26.24704328,97.26776438,1.110306816,95.5933601,1.542676075,0,0,13.36818385,17.3342963,117
918.2,18.88,172.5,2.8856526,210.3,3.7580592,0,0,13.85,29.86,118
915.17,10.65,235.3,1.565858,237.4,2.4158952,0,0,89.85,64.52,119
920.7,24.54,190.9,6.263432,199.6,7.270055,0,0,35.85,28.18,120
920.59,23.89,89.7,1.1632088,91.1,1.789552,0,0,13.92,16.68,121
918.32,23.74,239.5,2.0579848,273.4,3.019869,0,0,27.48,33.81,122
920.18,17.08,32.6,3.019869,51.3,3.8251674,0,0,45.21,52.1,123
913.61,26.46,180.5,3.2659324,187.9,3.7580592,0,0,12.76,36.69,124
923.3172954,21.30313741,194.7326523,4.181992575,219.3140312,5.402380134,0,0,18.35525613,19.04826571,125
917.69,23.91,79.7,3.131716,82.8,4.8317904,0,0,48.53,48.81,126
923.3242454,13.99248509,44.70418577,9.994809533,66.6391055,12.92188913,0,0,17.44536238,19.67626147,127
916.04,31.58,176,1.4092722,112.8,2.1922012,0,0,7.37,26.94,128
923.485042,20.25145035,38.37667759,4.671545946,64.92977632,6.483996384,0,0,18.39975068,17.42827468,129
916.5,24.96,159.1,1.2974252,206.2,1.9237684,0,0,42.52,49.75,130
918,19.37,198.4,2.684328,210.8,3.2659324,0,0,62.27,70.44,131
916.27,22.07,189.5,12.2136924,194.9,13.4440094,0,0,16.09,29.09,132
919.61,21.25,119.4,3.4001488,162.6,5.0778538,0,0,19.64,16.03,133
920.201586,14.33902059,80.48035523,5.38511667,93.97028884,7.435259553,0,0,14.3792334,13.26699768,134
918.8,9.12,24.8,2.0579848,60.1,2.9527608,0,0,65.12,47.71,135
921.6348996,18.83182803,73.48641858,3.016972003,93.28223484,4.018967337,0,0,10.72026911,16.08178178,136
919.08,22.64,166,2.460634,198.9,3.131716,0,0,41.95,59.69,137
913.06,18.23,139.9,1.1855782,184,1.9461378,0,0,60.8,73.05,138
921.9332984,18.12126068,73.21344511,3.815591981,92.03319361,4.733501,0,0,12.2849738,15.88708044,139
917.21,24.12,173.5,2.3040482,194.5,3.1540854,0,0,48.57,45.61,140
923.8315596,10.00117943,198.8891603,5.9064336,215.506795,7.165717543,0,0,39.93988672,21.35258533,141
921.1862235,21.77990154,214.2489384,1.690793397,173.3888784,2.673681467,0,0,17.10315068,24.37743921,142
915.56,14.06,180,9.4846256,185.1,10.3794016,0,0,37.21,65.04,143
918.77,20.36,160.3,2.1474624,198.4,2.9527608,0,0,34.08,63.1,144
914.97,23.16,188.2,2.2593094,186.6,3.0646078,0,0,40.98,54.09,145
924.722875,16.18226824,40.67343578,8.576565466,65.42982736,11.44865044,0,0,17.20774274,20.33369723,146
916.79,24.68,186.4,2.3935258,190.2,3.2883018,0,0,33.11,43.63,147
916.55,14.42,174.4,3.131716,195,4.0712308,0,0,60.46,47.16,148
919.66,19.4,105.4,2.2145706,147,3.1988242,0,0,28.14,22.72,149
923.1877827,13.62930208,50.09369378,7.695570649,56.99795789,9.427236293,0,0,13.49691652,14.58642281,150
916.55,11.95,205.8,3.802798,226.1,4.9436374,0.01,10,84.48,67.46,151
917.22,26.64,52.8,3.6014734,68.6,4.585727,0,0,23.25,44.27,152
919.9,13.36,58.8,3.8699062,70.3,4.5409882,0,0,18.95,23.51,153
921.7,11.98,48.2,5.256809,64.4,6.8002976,0,0,19.89,22.93,154
919.27,10.03,37.8,2.9303914,63.9,3.9593838,0,0,70.76,62.58,155
926.1773682,18.92698228,56.82077877,16.99667398,69.30130963,20.49697829,0,0,14.58678058,12.05463897,156
921.5741147,24.02811696,225.3022069,1.963296053,251.3447767,2.648661988,0.035743013,268.0726009,43.52907512,19.1003094,157
918.32,13.03,47.9,6.4647566,63.6,7.8516594,0,0,24.28,22.86,158
915.7,13.63,143.5,1.6329662,174,2.1698318,0,0,81.99,74.95,159
921.507308,22.88397568,165.5487395,3.390924927,206.1791945,5.577992393,0,0,13.80796287,13.83993332,160
917.6,8.7,204,1.6105968,183.2,2.23694,0,0,89.84,75.42,161
920.77,21.51,181,4.4067718,188.2,5.0778538,0,0,13.16,17.4,162
915.6968387,30.13319476,234.1895664,1.742951989,125.5030256,2.503003987,0,0,8.810402446,17.02234251,163
913.7,18.27,185.9,3.467257,197,4.0936002,0,0,38.22,40.37,164
921.2110659,15.45042392,55.303143,17.89629188,76.74202225,23.43976847,0,8.213187173,8.762945026,7.443641852,165
920.9,15.73,214.5,2.3040482,239.3,2.8856526,0,0,62.44,55.78,166
918.7138944,18.4547009,65.723783,5.723355288,79.36463343,7.095593332,0,0,18.6347566,19.47085631,167
917.7062236,27.47296305,121.8818116,1.734641613,83.95062116,2.427703597,0,0,15.90510835,19.52840871,168
919.6,8.29,205.6,16.2401844,214.7,18.0521058,0.03,293,91.34,88.7,169
925.96,13.87,51.7,17.8731506,66.3,22.2799224,0,10,15.36,19.68,170
918.98,26.08,268,1.565858,241.1,2.1027236,0,0,36.35,37.25,171
917.7,23.77,40.2,6.6660812,59.5,8.2990474,0,0,22.33,23.8,172
919.9030809,13.31372099,48.10559492,8.828660563,64.13454679,11.03419158,0,0,20.43537504,22.67496457,173
923.61,14.67,47.7,10.6030956,67.1,13.6229646,0,0,17.98,16.45,174
915.15,29.02,203.6,1.11847,212.6,1.8342908,0,0,35.47,31.64,175
922.17,13.72,48.4,12.2136924,64.9,15.5914718,0,0,14.93,22.41,176
915.9,,183.3,4.7199434,189.9,5.3462866,0,0,29.26,46.5,177
918.4,16.07,189.3,5.1897008,195.6,5.6818276,0,0,13.16,25.11,178
919.4779271,20.03335722,47.04658845,10.56738329,64.8812473,13.6928726,0,6.534115493,9.374424197,11.54199692,179
916.1,10.68,199.9,3.2659324,220.1,4.026492,0,0,88.43,61.12,180
915.63,22.42,165.3,3.802798,179,5.256809,0,0,52.34,48.98,181
919,16.25,182.2,5.6147194,191.5,6.7331894,0,0,32.16,41.2,182
916.8176734,29.04858655,208.1183495,1.892737962,108.3191396,3.085170344,0,0,13.6867076,15.09523265,183
914.98,29.09,178.4,1.4316416,209.3,1.9685072,0,0,37.64,35.52,184
918.8767448,25.04650294,183.3776772,4.324869059,193.009675,5.06360032,0,0,10.07382203,9.449291931,185
916.5,21.69,102.3,2.4158952,49.1,3.2211936,0,0,49.01,52.97,186
922.1878752,13.81331892,48.38159909,12.29836798,64.9026287,15.68908393,0,0,14.94945239,22.20154393,187
922.57,20.76,193.5,2.6395892,220.2,3.6014734,0,0,19.95,19.68,188
924.14,13.09,222.4,3.243563,239.7,4.0488614,0.01,140,90.66,90.21,189
919.74,14.17,212.9,1.9685072,245.8,2.8185444,0,0,37.44,65.96,190
924.05,8.47,47.9,13.980875,68.3,17.8507812,0,20,16.71,13.27,191
920.59,5.9,163.8,5.256809,186.2,6.9121446,1.53,4310,36.79,23.75,192
917.8,18.89,157,2.2816788,180.9,3.3106712,0,0,32.06,52.51,193
919.36,9.3,280.9,2.5277422,274.8,3.6685816,0,70,90.7,70.32,194
918.3914977,22.87143229,181.7207583,1.63004495,185.8775567,2.24738385,0,0,11.81458456,18.27291835,195
911.7,8.78,190.1,3.3106712,217.7,4.0712308,0,0,90.09,54.37,196
920.93,24.13,40.2,2.1474624,65.1,2.9751302,0,0,15.09,14.61,197
922.698232,15.70822108,137.9249417,3.300545669,147.139294,5.146777719,0,0,19.8183735,19.60693827,198
922.9020623,16.00562455,269.1748773,1.906562783,232.723131,2.449735011,0,0,8.3099531,21.88523559,199
920.4057949,9.82583485,46.5963782,10.22502142,66.41307861,13.19277025,0,0,23.07243455,22.05724342,200
924.3902265,18.94393731,63.31115419,9.650178615,72.45162892,11.31602568,0,0,13.09353397,16.9971455,201
916.4,10.37,134.3,1.006623,172.3,1.4987498,0,0,91.15,68.26,202
913.52,16.95,182.9,8.3214168,189.1,9.3056704,0,0,40.25,48.89,203
907.99,5.2,161.2,12.2584312,187.7,17.7613036,0.98,3079,89.68,92.16,204
917.65,29.04,204,1.0513618,242.5,1.6105968,0,0,16.68,24.17,205
920,23.83,46.7,6.9792528,64.8,8.9701294,0,0,27.36,32.51,206
915.49,15.18,162.1,3.3777794,180.8,4.5633576,0,0,66.45,53.23,207
922.89,17.32,183.6,4.4067718,198.5,5.7265664,0,0,31.74,58.81,208
918.3,17.78,71.7,6.6213424,82.5,8.0306146,0,0,8.73,18.75,209
918.14,26.17,244.3,2.2816788,230.5,2.8856526,0,0,20.13,19.59,210
918.3095406,23.91799323,183.2677142,2.013337411,187.5795237,2.665303283,0,0,10.67546224,15.68484501,211
923.8852213,14.78172351,47.01875913,11.21570137,66.5550073,14.47634577,0,0,17.3082965,15.86277037,212
921.54,7.38,192.1,8.4108944,200.2,9.3727786,0.08,397,77.13,68.27,213
920.627327,25.92746944,95.56109178,2.901135951,124.8664049,3.968540654,0,0,18.10408267,16.62283008,214
917.24,7.49,153.8,7.2253162,78,10.5583568,0.06,740,55.88,51.51,215
918.88,15.94,178.8,4.362033,185.4,4.921268,0,0,34.77,44.29,216
923.6,4.79,130.9,1.7224438,163.1,2.7514362,0,10,79.26,56.22,217
921.1268634,9.230157867,42.3551878,11.3135682,65.46714208,15.0339002,0,0,28.24334024,19.04997387,218
921.6140613,15.85194249,35.94690682,4.472759068,55.81514063,5.664554056,0,0,11.81543762,13.17754565,219
923.7574672,21.62305603,195.4587087,5.090498516,218.7921781,6.46314964,0,0,17.41592061,18.67616179,220
919.0364128,23.45277099,108.7555383,2.924410013,59.47563149,3.618356966,0,0,13.41607864,19.97861256,221
915.5,20.45,177.4,3.5567346,195.7,4.585727,0,0,50.36,53.44,222
917.8075395,26.36788887,126.2423615,1.465764042,70.00171833,1.96225087,0,0,14.86957859,19.82618853,223
918.71,4.7,214.5,16.1283374,222.4,18.2757998,0,40,79.78,89.4,224
916.31,26.39,175.7,6.71082,187,8.1424616,0,0,24.16,41.57,225
914.7,17.54,171.9,8.5674802,182.8,10.625465,0,0,51.62,52.44,226
917.86,19.32,207.6,1.5211192,241.5,2.3040482,0,0,51.97,40.65,227
920.4809981,18.62179761,111.7479205,3.77668495,52.27047864,4.586099132,0,0,22.89603974,22.4393455,228
919.28,22.58,95.9,4.7199434,85.6,5.8831522,0.01,20,47.51,44.72,229
915.6,13.49,178.3,3.1988242,201.7,4.1607084,0,0,89.95,71.89,230
918.9,24.93,343.4,2.8632832,147.8,3.6685816,0,0,32.28,35.73,231
917.4,21.29,176.2,6.1292156,184,7.1358386,0.05,270,49.43,52.4,232
921.65,17.15,56.7,10.7149426,77.3,13.7124422,0,0,21.11,20.89,233
915.61,20.73,46.7,10.9162672,64.5,14.204569,0,10,8.3,12.71,234
915.8361258,21.41796476,178.2177358,3.337398212,186.3637652,4.142721001,0,0,10.91538616,21.17396146,235
922.18,5.82,195.4,7.1358386,208.5,8.4556332,0,0,84.08,77.87,236
923.5521786,21.71793901,197.674723,3.942863916,210.8224238,5.165807062,0,0,13.30978526,15.87360525,237
921.4455101,17.18448919,65.04693863,9.134018007,80.4816318,11.65902058,0,0,16.54143045,18.30612273,238
920.85,14.11,47.5,9.1267152,58.9,10.6030956,0,0,13.49,14.87,239
920.02,9.97,183.4,8.388525,193.7,9.8201666,0,0,50.36,71.65,240
921.34,16.89,59.1,11.8334126,86.3,16.5757254,0,0,20.63,17.71,241
916.5815039,24.01370135,177.4437013,6.690025815,185.4677636,7.53528201,0,0,15.48874732,22.78404812,242
922.32,13.07,215.9,9.395148,228.5,10.849159,0.02,60,91.12,91.16,243
917.08,17.76,220,3.4896264,230,4.362033,0,0,22.56,51.91,244
920.0421425,18.44543871,122.9616493,3.626740706,48.25147194,4.628611525,0,0,24.3668217,22.16642603,245
920.5,4.91,185.3,5.5699806,203.3,6.9792528,0,90,70.31,61.05,246
916.45,23.51,129.3,1.0513618,102.2,1.7671826,0,0,24.75,41.16,247
915.4,7.44,249.3,11.2070694,289.7,15.0098674,0.56,2495,90.47,51.1,248
919.55,15.05,49,20.8930196,58.5,24.6958176,0,0,12.86,9.82,249
917.6,23.85,63.9,11.6544574,84.7,15.099345,0,70,53.83,66.71,250
921.3913192,20.12417092,199.1894024,4.538617584,208.4446444,5.40260097,0,0,10.45281845,14.07935783,251
917.56,20.34,171.6,7.605596,179.6,8.6793272,0,0,40.14,37.55,252
923.9079209,22.62366337,225.4066007,2.611461343,222.4772277,3.461424717,0,0,16.69798676,18.3723432,253
918.1,23.03,198.9,1.454011,175.3,2.23694,0,0,19.25,36.91,254
919.6158852,21.83328421,47.04243047,4.266622538,80.47154209,6.046422157,0,0,14.42305345,17.46578259,255
914.06,20.35,180,3.9817532,200.2,5.0778538,0,0,59.21,54.18,256
915.2653904,26.84071525,147.9977025,1.381721488,145.4863187,1.838716306,0,0,19.29905188,20.39105,257
923.054433,18.42420568,151.842544,3.544045494,181.1710081,4.943764538,0,0,11.99979093,17.74857781,258
914.83,23.65,175.5,1.4092722,153.8,2.23694,0,0,47.51,53.84,259
916.65,31.89,185.2,1.7224438,217.5,2.1922012,0,0,12.05,14.08,260
919.47,29.21,53,3.131716,78,3.9817532,0,0,16.74,26.51,261
923.5966068,14.65588769,47.73775266,10.63627255,67.14584251,13.67142306,0,,17.99087636,16.46168535,262
915.1019014,22.89537237,210.4389883,1.359570338,126.3068145,1.988785063,0,0,22.7612053,21.79370897,263
919.71,21.27,149.3,2.796175,233.4,5.144962,0.171,999,12.21,8.45,264
916.9,20.21,333,0.6934514,143.8,1.2750558,0,0,20.19,29.47,265
923.78,18.03,150.3,4.0041226,179.1,5.5699806,0,0,10.97,17.78,266
922.85,17.27,47.7,15.434886,65,19.3047922,0,0,15.67,14.48,267
920.4,15.3,277.8,1.9461378,257.4,2.4830034,0.86,6950,43.63,56.25,268
920.5277587,15.79631623,55.19383295,12.48279264,73.42785151,15.31898188,0,0,18.13637262,11.00459535,269
921.4611652,17.28684921,65.07102334,9.38454164,80.62614005,11.99709279,0,0,16.22531864,18.25795332,270
923.82,17.98,126.4,2.9751302,63.8,3.467257,0,0,22.19,26.94,271
915.73,7.63,182.2,7.3147938,190.1,8.500372,0,0,90.61,87.29,272
917.15,9.65,169,10.2004464,184.6,12.6610804,0,0,34.7,63.2,273
922.7542207,10.17274383,47.771267,13.45038354,67.99995535,17.76127697,0,0,28.34741392,17.31998661,274
920.6319977,20.34418926,192.6645154,3.9575881,221.7386317,5.106171337,0,0,15.45566476,20.36778566,275
